root_lot_id	lot_id	wafer_id	tkin_time	tkout_time	line_id	part_id	process_id	step_seq	step_id	lot_type	area	bay	eqp_model	eqp_type	eqp_id	unit_id	chamber_id	ppid	batch_id	reticle_id	foup_id	pos	lot_tkout_time	wf_tkin_time	wf_tkout_time	curr_lot_id	owning_line_id	last_flag	rework_main_step	rework_cnt	ein_ecn_no	apc_apply_yn	sendfab_type	load_port	sleuth_order	keystep_bkm	last_update_time
GSH015	GSH015.1	6	2019-09-01 0:47	2019-09-01 0:57	KFE5	K4C6E1K0MB-GAF	KGTT	TT160230	TT160230VG	EE	CLN	B51	IRIS300_H8CF	WETSTN	WWM552	[NULL]	1	CUS10KHF60	WWM55226520190901004438556	[NULL]	PU69295	1	2019-09-01 0:57	[NULL]	[NULL]	GSH015.1	KFBG	Y	[NULL]	0	[NULL]	-	OLD	WWM552_B1	0	[NULL]	2019-09-01 0:58
ETH074	ETH074.1	10	2019-09-01 0:26	2019-09-01 0:45	KFBE	K4F6S164HM-EAB	KEUK	UK037330	UK037330	PP	CLN	PH15	W_SEMES_LCF	WETSTN	WSSEA5	[NULL]	7	MS3HF_A_SC10_E4__12345678(48.0)	WSSEA543620190901002431267	[NULL]	111335S	1	2019-09-01 0:45	[NULL]	[NULL]	ETH074.1	KFBE	Y	UK035030	0	[NULL]	Y	-	WSSEA5_B4	0	[NULL]	2019-09-01 0:46
PGHT28	PGHT28.1	22	2019-08-31 15:51	2019-09-01 1:00	PFBP	K4U8E164AA-PAB	PPKA	KA000080	KA000080	PP	DIFF	N03	P1D_GENUINE	DDPOLY	DDUP855	[NULL]	81	UPL-520-850-NT	DDUP85558920190831154109568	[NULL]	PPCB2129	3	2019-09-01 1:00	[NULL]	[NULL]	PGHT28.1	PFBP	Y	[NULL]	0	[NULL]	Y	-	DDUP855_B3	0	[NULL]	2019-09-01 1:01
PGH872	PGH872.1	8	2019-09-01 0:27	2019-09-01 1:06	PFBP	K4U8E164AA-PAB	PPKA	KA048860	KA048860	PP	CMP	2	REFLEXION_LK	CMPOXD	CAOP703	[NULL]	4	KA48NBA	CAOP70387120190901002204559	[NULL]	PPCM4938	1	2019-09-01 1:06	[NULL]	[NULL]	PGH872.1	PFBP	Y	[NULL]	0	ECO190612B22-1	-	-	CAOP703_B1	0	[NULL]	2019-09-01 1:08
GIH167	GIH167.1	8	2019-08-31 23:44	2019-09-01 0:10	KFBJ	K4L8E165YE-GAB	KGKU	KU036755	KU036755	PT	CLN	L30	W_SMS_H8DF	WETSTN	WWOJLT6	[NULL]	4	MSHF10_SIH	WWOJLT65820190831234143754	[NULL]	PMG10491	1	2019-09-01 0:10	[NULL]	[NULL]	GIH167.1	KFBG	Y	[NULL]	0	[NULL]	-	NEW	WWOJLT6_B4	0	[NULL]	2019-09-01 0:12
E7H125	E7H125.1	16	2019-09-01 0:25	2019-09-01 0:38	KFBE	K4B4G0846E-EAF	KEND	ND090200	ND090200	PP	CLN	ET57	W_SEMES_LCF	WETSTN	WOSEC5	[NULL]	1	MDSP300_60S_C	WOSEC567620190901001936277	[NULL]	107773S	1	2019-09-01 0:38	[NULL]	[NULL]	E7H125.1	KFBE	Y	[NULL]	0	[NULL]	-	-	WOSEC5_B3	0	[NULL]	2019-09-01 0:40
E7H424	E7H424.1	8	2019-09-01 0:41	2019-09-01 1:14	KFMA	K4B4G0846E-EAF	KEND	ND042100	ND042100	PP	CLN	B30	W_ZEUS_H8SCF	WETSTN	WEHAA1	[NULL]	3	MS2HS150_SC150PS_S	WEHAA179220190901003657415	[NULL]	127279S	1	2019-09-01 1:14	[NULL]	[NULL]	E7H424.1	KFBE	Y	[NULL]	0	[NULL]	-	NEW	WEHAA1_B1	0	[NULL]	2019-09-01 1:14
PFH151	PFH151.1	9	2019-09-01 1:00	2019-09-01 1:40	PFBP	K9AFGD8J0C-PAT	PPBF	BF015120	BF015120	EE	IMP	68	OPTIMA_XE	IIMPHE	IAEP702	[NULL]	1	P1800K2E13DV3	IAEP70283420190901005856257	[NULL]	PPBF3691	1	2019-09-01 1:40	[NULL]	[NULL]	PFH151.1	PFBP	Y	[NULL]	0	[NULL]	-	-	IAEP702_B1	0	[NULL]	2019-09-01 1:41
HHG021	HHG021.1	15	2019-08-31 23:14	2019-09-01 1:34	KFBH	K9AFGD8U0A-HXT	KHFH	FH120200	FH120200	PT	ETCH	J07	TACTRAS_VIGUS	EPOLOX	ETOHJ18	[NULL]	2	E_FH120CMC	ETOHJ180831231140	[NULL]	PMHA0976	1	2019-09-01 1:34	[NULL]	[NULL]	HHG021.1	KFBH	Y	-	0	[NULL]	Y	-	ETOHJ18_B3	0	[NULL]	2019-09-01 1:36
GKF776	GKF776.1	3	2019-09-01 0:24	2019-09-01 1:16	KFBJ	K4A8G085WD-GZE	KGKB	KB184350	KB184350VG	PP	CVD	B03	VECTOR_EXTREME	TCPEOX	TNVJB02	[NULL]	B	CUSIN6KL	TNVJB0265420190901002243749	[NULL]	PCUJ0010	1	2019-09-01 1:16	[NULL]	[NULL]	GKF776.1	KFBG	Y	-	0	[NULL]	Y	OLD	TNVJB02_B2	0	[NULL]	2019-09-01 1:17
GHF710	GHF710.1	1	2019-09-01 1:21	2019-09-01 1:51	KFBJ	K4U8E164AA-GDE	KGKA	KA175030	KA175030VG	PP	PHOTO	L13	A1460_TPV12C8_SC	PMAINF	PTAJL18	[NULL]	EX1	5QRKGKA.KA175P_U4	PTAJL186720190901011900741	TKAGV2C0R4	PCJ8126	1	2019-09-01 1:51	[NULL]	[NULL]	GHF710.1	KFBG	Y	-	0	[NULL]	Y	OLD	PTAJL18_B4	0	[NULL]	2019-09-01 1:52
HAHC94	HAHC94.1	4	2019-09-01 1:19	2019-09-01 2:03	KFBH	K4F8E164HM-HAB	KHLA	LA035030	LA035030	PP	PHOTO	PH18	AN80_TPZ12CDN_SC	PMAINF	PTVHU4	[NULL]	EX2	5SDKHLA.LA035P	PTVHU453720190901011637762	GLAJBTA0R9	PNHA4999	1	2019-09-01 2:03	[NULL]	[NULL]	HAHC94.1	KFBH	Y	[NULL]	0	[NULL]	Y	-	PTVHU4_B3	0	[NULL]	2019-09-01 2:04
HAHC08	HAHC08.1	2	2019-09-01 2:23	2019-09-01 2:39	KFBH	K4F8E164HM-HAB	KHLA	LA036220	LA036220	PP	CLN	ET31	CLN_SEMES_H8DFI	WETSTN	WWOHZI3	[NULL]	6	DSP300_30S	WWOHZI321120190901022017388	[NULL]	PNHB9488	1	2019-09-01 2:39	[NULL]	[NULL]	HAHC08.1	KFBH	Y	-	0	ECO181220A12-2	-	-	WWOHZI3_B3	0	[NULL]	2019-09-01 2:40
PTH342	PTH342.1	4	2019-09-01 1:33	2019-09-01 2:07	PFBP	K9AFGD8J0B-PXT	PPIT	IT101020	IT101020	PP	PHOTO	P59	A860_TPV8C8D_SC	PMAINF	PTHP318	[NULL]	EX2	2EAPPIT.IT101PRO_FED	PTHP31810620190901012918363	P2ITRPA0L3	PFN08133	1	2019-09-01 2:07	[NULL]	[NULL]	PTH342.1	PFBP	Y	-	0	ECO190701B14-1	Y	-	PTHP318_B2	0	[NULL]	2019-09-01 2:08
GHHD68	GHHD68.1	1	2019-09-01 1:40	2019-09-01 2:57	KFBJ	K4U8E164AA-GAB	KGKA	KA036150	KA036150	PP	ETCH	M12	VIGUS_MK3	EPOLOX	ETOJM51	[NULL]	1	15_KA036M04	ETOJM5158920190901013652141	[NULL]	PNG04879	1	2019-09-01 2:57	[NULL]	[NULL]	GHHD68.1	KFBG	Y	-	0	[NULL]	Y	NEW	ETOJM51_B1	0	[NULL]	2019-09-01 2:58
HBH290	HBH290.1	17	2019-09-01 2:02	2019-09-01 2:26	KFBH	K4A8G085WC-HAF	KHLB	LB014670	LB014670	PP	CVD	CV42	HERO	TCTOSZ	TRZHZ02	[NULL]	A	D1STI6KR	TRZHZ0298420190901015903872	[NULL]	PNHA7143	1	2019-09-01 2:26	[NULL]	[NULL]	HBH290.1	KFBH	Y	[NULL]	0	[NULL]	-	-	TRZHZ02_B2	0	[NULL]	2019-09-01 2:28
GEHD41	GEHD41.1	22	2019-08-31 19:43	2019-09-01 3:11	KFBG	K4A8G085WB-GAF	KGNB	NB037130	NB037130	PP	DIFF	V23	DJ_1206VN	DALDNT	DKNGQ03	[NULL]	58	MALD-630-420CPC	DKNGQ0323720190831193012908	[NULL]	PMG07436	3	2019-09-01 3:11	[NULL]	[NULL]	GEHD41.1	KFBG	Y	[NULL]	0	[NULL]	Y	-	DKNGQ03_B2	0	[NULL]	2019-09-01 3:12
JQG087	JQG087.1	17	2019-09-01 1:37	2019-09-01 2:59	KFBJ	K4G80325FC-JAF	KJLY	LY140200	LY140200	PP	ETCH	M08	NXD_PRIME	EPOLOX	ESOJM31	[NULL]	2	PAS140OXD	ESOJM3113020190901012847978	[NULL]	PJ03453	1	2019-09-01 2:59	[NULL]	[NULL]	JQG087.1	KFBJ	Y	[NULL]	0	[NULL]	Y	-	ESOJM31_B1	0	[NULL]	2019-09-01 3:02
G5H133	G5H133.1	21	2019-09-01 3:05	2019-09-01 3:12	KFBG	K4F6S164HA-GAB	KGLV	LV077862	LV077862	PP	CLN	V22	W_B2SMS_H8CFI	WETSTN	WWPGQT2	[NULL]	5	MSHF20_DT12	WWPGQT223820190901030319717	[NULL]	PMG08132	1	2019-09-01 3:12	[NULL]	[NULL]	G5H133.1	KFBG	Y	[NULL]	0	[NULL]	-	-	WWPGQT2_B1	0	[NULL]	2019-09-01 3:14
PTH443	PTH443.1	7	2019-09-01 2:30	2019-09-01 2:47	PFBP	K9AFGD8J0B-PXT	PPIT	IT098160	IT098160	PP	CLN	P36	W_SMS_H8CF	WETSTN	WWDP304	[NULL]	8	SHF10_SC30	WWDP30478520190901022526791	[NULL]	PFN03319	1	2019-09-01 2:47	[NULL]	[NULL]	PTH443.1	PFBP	Y	[NULL]	0	[NULL]	-	-	WWDP304_B2	0	[NULL]	2019-09-01 2:48
GKH261	GKH261.1	15	2019-09-01 3:57	2019-09-01 4:27	KFBG	K4A8G085WD-GAF	KGKB	KB030230	KB030230	PP	CLN	B04	W_SEMES_H8SCF	WETSTN	WWHG12	[NULL]	4	S6HS_SC30PS	WWHG1239220190901035204664	[NULL]	PNG04954	1	2019-09-01 4:27	[NULL]	[NULL]	GKH261.1	KFBG	Y	[NULL]	0	[NULL]	-	-	WWHG12_B4	0	[NULL]	2019-09-01 4:28
